id,stock,industry,info,percents
567,海德股份,多元金融,rsi:15.79-c:15.80,9.99
2024,苏宁易购,电器连锁,rsi:4.02-c:4.05,-1.99
2291,星期六,服饰,rsi:19.28-c:19.83,-0.46
300573,兴齐眼药,化学制药,rsi:115.93-c:117.05,4.39
301051,信濠光电,元器件,rsi:124.01-c:125.90,-1.62
600398,海澜之家,服饰,rsi:6.29-c:6.44,-1.24
600774,汉商集团,百货,rsi:16.63-c:16.71,-1.66
601002,晋亿实业,机械基件,rsi:4.69-c:4.71,0.85
603899,晨光文具,文教休闲,rsi:58.48-c:58.88,-0.83
603987,康德莱,医疗保健,rsi:18.26-c:18.64,-1.34
find stocks: 10 next day status: sum: 6.09 avg:0.61 p:30.00
